modelo,holdout_accuracy,holdout_f1_macro,holdout_precision_macro,holdout_recall_macro,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_macro_mean,cv5_f1_macro_std,loo_accuracy
decision_tree,0.47058823529411764,0.37789661319073087,0.3511904761904762,0.4351851851851852,0.4,0.09270944570168697,0.3142616642616643,0.09763378521926977,0.36363636363636365
random_forest,0.35294117647058826,0.1818181818181818,0.15384615384615385,0.2222222222222222,0.3818181818181818,0.14545454545454545,0.31385836385836385,0.13560157229827546,0.41818181818181815
knn,0.4117647058823529,0.3540100250626566,0.3611111111111111,0.35185185185185186,0.36363636363636365,0.11499191491521378,0.27024161024161025,0.08572542468808148,0.32727272727272727
logistic_regression,0.35294117647058826,0.2804232804232804,0.2962962962962963,0.26851851851851855,0.3454545454545454,0.14545454545454545,0.26998186998186996,0.13523104472048061,0.4
